127.0.0.1, 2014-10-16 13:06:51, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2014-10-16 13:06:54, GET, /welcome/default/index, HTTP/1.1, 200, 2.692000
127.0.0.1, 2014-10-16 13:07:11, GET, /tatserver, HTTP/1.1, 200, 1.478000
127.0.0.1, 2014-10-16 13:07:26, GET, /tatserver/default/display, HTTP/1.1, 200, 0.086000
127.0.0.1, 2014-10-16 13:07:40, POST, /tatserver/default/display, HTTP/1.1, 200, 0.062000
127.0.0.1, 2014-10-16 13:08:38, POST, /tatserver/default/display, HTTP/1.1, 200, 0.037000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.056000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/js/calendar.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/js/jquery.js, HTTP/1.1, 200, 0.066000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.067000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.060000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/css/calendar.css, HTTP/1.1, 200, 0.061000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/js/web2py.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/css/web2py.css, HTTP/1.1, 200, 0.064000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/images/twitter.png, HTTP/1.1, 200, 0.019000
127.0.0.1, 2014-10-16 13:08:39, GET, /tatserver/static/images/gplus-32.png, HTTP/1.1, 200, 0.021000
127.0.0.1, 2014-10-16 13:08:47, POST, /tatserver/default/display, HTTP/1.1, 200, 0.041000
127.0.0.1, 2014-10-16 13:09:24, POST, /tatserver/default/display, HTTP/1.1, 200, 0.035000
